freq,stk_flow,indic_et,partner,sitc06,geo,time,value
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2019-01-01,11036.1
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2019-02-01,9211.5
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2019-03-01,10480.3
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2019-04-01,10345.9
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2019-05-01,9612.9
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2019-06-01,8371.0
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2019-07-01,9327.6
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2019-08-01,8685.2
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2019-09-01,8171.6
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2019-10-01,9020.0
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2019-11-01,8644.6
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2019-12-01,8773.3
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2020-01-01,9094.9
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2020-02-01,8609.0
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2020-03-01,7576.8
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2020-04-01,4569.5
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2020-05-01,4295.4
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2020-06-01,4969.0
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2020-07-01,5598.4
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2020-08-01,5044.3
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2020-09-01,5735.6
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2020-10-01,6134.0
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2020-11-01,6147.6
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2020-12-01,6690.8
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2021-01-01,8236.4
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2021-02-01,7713.9
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2021-03-01,9003.0
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2021-04-01,9226.2
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2021-05-01,9924.2
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2021-06-01,10008.9
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2021-07-01,10398.4
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2021-08-01,11294.1
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2021-09-01,10979.4
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2021-10-01,13468.7
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2021-11-01,14769.0
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2021-12-01,14631.8
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2022-01-01,16926.7
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2022-02-01,16287.3
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2022-03-01,18645.2
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2022-04-01,16513.9
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2022-05-01,15114.0
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2022-06-01,14744.1
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2022-07-01,13933.5
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2022-08-01,12334.0
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2022-09-01,10550.9
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2022-10-01,9577.9
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2022-11-01,8827.3
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2022-12-01,8324.1
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2023-01-01,6981.6
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2023-02-01,3706.8
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2023-03-01,3069.3
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2023-04-01,3197.2
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2023-05-01,2636.3
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2023-06-01,2299.6
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2023-07-01,2401.1
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2023-08-01,2112.4
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2023-09-01,2437.1
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2023-10-01,2420.9
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2023-11-01,2288.9
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2023-12-01,2413.6
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2024-01-01,2413.8
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2024-02-01,2139.0
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2024-03-01,2226.0
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2024-04-01,2173.7
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2024-05-01,2104.8
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2024-06-01,1812.0
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2024-07-01,2138.9
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2024-08-01,2000.9
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2024-09-01,2404.1
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2024-10-01,2255.6
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2024-11-01,2014.6
Monthly,Imports,Trade value in million ECU/EURO,Russia,Total - all products,Euro area – 20 countries (from 2023),2024-12-01,2487.4
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2019-01-01,183151.6
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2019-02-01,168543.5
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2019-03-01,183921.1
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2019-04-01,178859.8
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2019-05-01,182491.9
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2019-06-01,170042.3
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2019-07-01,184549.9
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2019-08-01,163957.8
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2019-09-01,178066.9
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2019-10-01,191950.1
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2019-11-01,178602.2
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2019-12-01,163426.0
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2020-01-01,182751.6
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2020-02-01,165429.0
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2020-03-01,164810.0
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2020-04-01,132966.7
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2020-05-01,134118.1
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2020-06-01,149696.8
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2020-07-01,158477.9
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2020-08-01,141948.1
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2020-09-01,165656.0
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2020-10-01,169714.4
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2020-11-01,171538.5
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2020-12-01,163382.9
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2021-01-01,157734.9
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2021-02-01,161465.1
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2021-03-01,196888.9
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2021-04-01,184575.2
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2021-05-01,181998.3
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2021-06-01,193384.5
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2021-07-01,188214.8
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2021-08-01,184856.0
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2021-09-01,203498.4
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2021-10-01,214060.3
Monthly,Imports,Trade value in million ECU/EURO,Extra-euro area - 20 countries (from 2023),Total - all products,Euro area – 20 countries (from 2023),2021-11-01,229951.5
