time,tipo,value
2017-04-06,actual,3.4%
2017-04-06,forecast,4.0%
2017-05-08,actual,1.0%
2017-05-08,forecast,1.0%
2017-06-07,actual,-2.1%
2017-06-07,forecast,-0.4%
2017-07-06,actual,1.0%
2017-07-06,forecast,2.0%
2017-08-04,actual,1.0%
2017-08-04,forecast,0.5%
2017-09-06,actual,-0.7%
2017-09-06,forecast,0.3%
2017-10-06,actual,3.6%
2017-10-06,forecast,0.7%
2017-11-06,actual,1.0%
2017-11-06,forecast,-1.5%
2017-12-06,actual,0.5%
2017-12-06,forecast,-0.3%
2018-01-08,actual,-0.4%
2018-01-08,forecast,0.1%
2018-02-06,actual,3.8%
2018-02-06,forecast,0.7%
2018-03-08,actual,-3.9%
2018-03-08,forecast,-1.9%
2018-04-05,actual,0.3%
2018-04-05,forecast,1.6%
2018-05-07,actual,-0.9%
2018-05-07,forecast,0.5%
2018-06-07,actual,-2.5%
2018-06-07,forecast,0.7%
2018-07-05,actual,2.6%
2018-07-05,forecast,1.1%
2018-08-06,actual,-4.0%
2018-08-06,forecast,-0.3%
2018-09-06,actual,-0.9%
2018-09-06,forecast,1.6%
2018-10-05,actual,2.0%
2018-10-05,forecast,0.7%
2018-11-06,actual,0.3%
2018-11-06,forecast,-0.4%
2018-12-06,actual,0.3%
2018-12-06,forecast,-0.4%
2019-01-07,actual,-1.0%
2019-01-07,forecast,-0.2%
2019-02-06,actual,-1.6%
2019-02-06,forecast,0.3%
2019-03-08,actual,-2.6%
2019-03-08,forecast,0.5%
2019-04-04,actual,-4.2%
2019-04-04,forecast,0.3%
2019-05-07,actual,0.6%
2019-05-07,forecast,1.6%
2019-06-06,actual,0.3%
2019-06-06,forecast,0.1%
2019-07-05,actual,-2.2%
2019-07-05,forecast,-0.1%
2019-08-06,actual,2.5%
2019-08-06,forecast,0.5%
2019-09-05,actual,-2.7%
2019-09-05,forecast,-1.5%
2019-10-07,actual,-0.6%
2019-10-07,forecast,-0.3%
2019-11-06,actual,1.3%
2019-11-06,forecast,0.1%
2019-12-05,actual,-0.4%
2019-12-05,forecast,0.3%
2020-01-08,actual,-1.3%
2020-01-08,forecast,0.2%
2020-02-06,actual,-2.1%
2020-02-06,forecast,0.6%
2020-03-06,actual,5.5%
2020-03-06,forecast,1.4%
2020-04-06,actual,-1.4%
2020-04-06,forecast,-2.4%
2020-05-06,actual,-15.6%
2020-05-06,forecast,-10.0%
2020-06-05,actual,-25.8%
2020-06-05,forecast,-19.7%
2020-07-06,actual,10.4%
2020-07-06,forecast,15.0%
2020-08-06,actual,27.9%
2020-08-06,forecast,10.1%
2020-09-04,actual,2.8%
2020-09-04,forecast,5.0%
2020-10-06,actual,4.5%
2020-10-06,forecast,2.6%
2020-11-05,actual,0.5%
