freq,unit,s_adj,na_item,geo,time,value
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2019-01-01,0.7
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2019-04-01,0.4
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2019-07-01,0.2
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2019-10-01,0.0
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2020-01-01,-3.3
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2020-04-01,-11.1
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2020-07-01,11.7
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2020-10-01,0.4
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2021-01-01,0.6
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2021-04-01,2.2
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2021-07-01,1.8
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2021-10-01,0.8
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2022-01-01,0.5
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2022-04-01,0.9
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2022-07-01,0.6
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2022-10-01,-0.1
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2023-01-01,0.0
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2023-04-01,0.1
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2023-07-01,0.0
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2023-10-01,0.0
Quarterly,"Chain linked volumes, percentage change on previous period",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2024-01-01,0.3
