freq,indic_bt,nace_r2,s_adj,unit,geo,time,value
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2019-01-01,90.3
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2019-02-01,84.6
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2019-03-01,93.6
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2019-04-01,93.4
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2019-05-01,94.1
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2019-06-01,96.6
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2019-07-01,96.6
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2019-08-01,98.7
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2019-09-01,93.9
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2019-10-01,97.5
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2019-11-01,98.3
Monthly,Volume of sales,"Retail trade, except of motor vehicles and motorcycles","Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Euro area – 20 countries (from 2023),2019-12-01,114.7
