freq,unit,s_adj,na_item,geo,time,value
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2019-01-01,105.084
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2019-04-01,105.106
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2019-07-01,105.128
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2019-10-01,104.94
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2020-01-01,101.681
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2020-04-01,93.031
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2020-07-01,102.751
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2020-10-01,102.537
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2021-01-01,103.26
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2021-04-01,104.66
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2021-07-01,105.254
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2021-10-01,105.519
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2022-01-01,105.553
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2022-04-01,105.96
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2022-07-01,106.28
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2022-10-01,105.744
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2023-01-01,105.293
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2023-04-01,105.082
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2023-07-01,104.865
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2023-10-01,104.519
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2024-01-01,104.585
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2024-04-01,104.629
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2024-07-01,104.841
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2024-10-01,104.955
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2025-01-01,104.979
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2019-01-01,104.018
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2019-04-01,103.837
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2019-07-01,104.021
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2019-10-01,103.812
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2020-01-01,101.466
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2020-04-01,93.688
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2020-07-01,101.922
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2020-10-01,102.923
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2021-01-01,101.851
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2021-04-01,104.189
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2021-07-01,103.705
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2021-10-01,103.987
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2022-01-01,103.716
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2022-04-01,103.4
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2022-07-01,103.831
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2022-10-01,103.055
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2023-01-01,102.96
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2023-04-01,102.642
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2023-07-01,102.791
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2023-10-01,102.332
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2024-01-01,102.489
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2024-04-01,102.168
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2024-07-01,102.389
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2024-10-01,102.21
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2025-01-01,102.647
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2019-01-01,108.456
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2019-04-01,108.63
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2019-07-01,108.359
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2019-10-01,107.37
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per person,France,2020-01-01,101.844
