time,tipo,value
2021-03-30,actual,-10.8
2021-03-30,forecast,-10.8
2021-04-22,actual,-8.1
2021-04-22,forecast,-10.8
2021-04-29,actual,-8.1
2021-04-29,forecast,-8.1
2021-05-21,actual,-5.1
2021-05-21,forecast,-6.8
2021-05-28,actual,-5.1
2021-05-28,forecast,-5.1
2021-06-22,actual,-3.3
2021-06-22,forecast,-3.0
2021-06-29,actual,-3.3
2021-06-29,forecast,-3.3
2021-07-22,actual,-4.4
2021-07-22,forecast,-2.5
2021-07-29,actual,-4.4
2021-07-29,forecast,-4.4
2021-08-23,actual,-5.3
2021-08-23,forecast,-5.0
2021-08-30,actual,-5.3
2021-08-30,forecast,-5.3
2021-09-22,actual,-4.0
2021-09-22,forecast,-5.8
2021-09-29,actual,-4.0
2021-09-29,forecast,-4.0
2021-10-21,actual,-4.8
2021-10-21,forecast,-5.0
2021-10-28,actual,-4.8
2021-10-28,forecast,-4.0
2021-11-22,actual,-6.8
2021-11-22,forecast,-5.5
2021-11-29,actual,-6.8
2021-11-29,forecast,-6.8
2021-12-21,actual,-8.3
2021-12-21,forecast,-8.0
2022-01-07,actual,-8.3
2022-01-07,forecast,-8.3
2022-01-21,actual,-8.5
2022-01-21,forecast,-9.0
2022-01-28,actual,-8.5
2022-01-28,forecast,-8.5
2022-02-18,actual,-8.8
2022-02-18,forecast,-8.0
2022-02-25,actual,-8.8
2022-02-25,forecast,-8.8
2022-03-23,actual,-18.7
2022-03-23,forecast,-12.9
2022-03-30,actual,-18.7
2022-03-30,forecast,-18.7
2022-04-21,actual,-16.9
2022-04-21,forecast,-20.0
2022-05-02,actual,-22.0
2022-05-02,forecast,-16.9
2022-05-20,actual,-21.1
2022-05-20,forecast,-21.5
2022-05-30,actual,-21.1
2022-05-30,forecast,-21.1
2022-06-22,actual,-23.6
2022-06-22,forecast,-20.5
2022-06-29,actual,-23.6
2022-06-29,forecast,-23.6
2022-07-20,actual,-27.0
2022-07-20,forecast,-24.9
2022-07-28,actual,-27.0
2022-07-28,forecast,-27.0
2022-08-23,actual,-24.9
2022-08-23,forecast,-28.0
2022-08-30,actual,-24.9
2022-08-30,forecast,-24.9
2022-09-22,actual,-28.8
2022-09-22,forecast,-25.8
2022-09-29,actual,-28.8
2022-09-29,forecast,-28.8
2022-10-21,actual,-27.6
2022-10-21,forecast,-30.0
2022-10-28,actual,-27.6
2022-10-28,forecast,-27.6
2022-11-22,actual,-23.9
2022-11-22,forecast,-26.0
2022-11-29,actual,-23.9
2022-11-29,forecast,-23.9
2022-12-20,actual,-22.2
2022-12-20,forecast,-22.0
2023-01-06,actual,-22.2
2023-01-06,forecast,-22.2
2023-01-23,actual,-20.9
2023-01-23,forecast,-20.0
2023-01-30,actual,-20.9
2023-01-30,forecast,-20.9
2023-02-20,actual,-19.0
2023-02-20,forecast,-19.0
2023-02-27,actual,-19.0
2023-02-27,forecast,-19.0
2023-03-23,actual,-19.2
2023-03-23,forecast,-18.3
2023-03-30,actual,-19.2
2023-03-30,forecast,-19.2
2023-04-20,actual,-17.5
2023-04-20,forecast,-18.5
2023-04-27,actual,-17.5
2023-04-27,forecast,-17.5
2023-05-22,actual,-17.4
2023-05-22,forecast,-17.0
2023-05-30,actual,-17.4
2023-05-30,forecast,-17.4
2023-06-22,actual,-16.1
2023-06-22,forecast,-17.0
2023-06-29,actual,-16.1
2023-06-29,forecast,-16.1
2023-07-20,actual,-15.1
2023-07-20,forecast,-16.0
2023-07-28,actual,-15.1
2023-07-28,forecast,-15.1
2023-08-23,actual,-16.0
2023-08-23,forecast,-14.3
2023-08-30,actual,-16.0
2023-08-30,forecast,-16.0
2023-09-21,actual,-17.8
2023-09-21,forecast,-16.5
2023-09-28,actual,-17.8
2023-09-28,forecast,-17.8
2023-10-23,actual,-17.9
2023-10-23,forecast,-18.3
2023-10-30,actual,-17.9
2023-10-30,forecast,-17.9
2023-11-22,actual,-16.9
2023-11-22,forecast,-17.6
2023-11-29,actual,-16.9
2023-11-29,forecast,-16.9
2023-12-20,actual,-15.1
2023-12-20,forecast,-16.5
2024-01-08,actual,-15.0
2024-01-08,forecast,-15.1
2024-01-23,actual,-16.1
2024-01-23,forecast,-14.3
2024-01-30,actual,-16.1
2024-01-30,forecast,-16.1
2024-02-21,actual,-15.5
2024-02-21,forecast,-16.0
2024-02-28,actual,-15.5
2024-02-28,forecast,-15.5
2024-03-20,actual,-14.9
2024-03-20,forecast,-15.0
2024-03-27,actual,-14.9
2024-03-27,forecast,-14.9
2024-04-22,actual,-14.7
2024-04-22,forecast,-14.0
2024-04-29,actual,-14.7
2024-04-29,forecast,-14.7
2024-05-23,actual,-14.3
2024-05-23,forecast,-14.0
2024-05-30,actual,-14.3
2024-05-30,forecast,-14.3
2024-06-20,actual,-14.0
2024-06-20,forecast,-14.0
2024-06-27,actual,-14.0
2024-06-27,forecast,-14.0
2024-07-23,actual,-13.0
2024-07-23,forecast,-13.0
2024-07-30,actual,-13.0
2024-07-30,forecast,-13.0
2024-08-22,actual,-13.4
2024-08-22,forecast,-13.0
2024-08-29,actual,-13.5
2024-08-29,forecast,-13.4
2024-09-20,actual,-12.9
2024-09-20,forecast,-13.0
2024-09-27,actual,-12.9
2024-09-27,forecast,-12.9
2024-10-23,actual,-12.5
2024-10-23,forecast,-12.0
2024-10-30,actual,-12.5
2024-10-30,forecast,-12.5
2024-11-21,actual,-13.7
2024-11-21,forecast,-12.4
2024-11-28,actual,-13.7
2024-11-28,forecast,-13.7
2024-12-20,actual,-14.5
2024-12-20,forecast,-14.0
2025-01-08,actual,-14.5
2025-01-08,forecast,-14.5
2025-01-23,actual,-14.2
2025-01-23,forecast,-14.0
2025-01-30,actual,-14.2
2025-01-30,forecast,-14.2
2025-02-20,actual,-13.6
2025-02-27,actual,-13.6
2025-02-27,forecast,-13.6
