time,tipo,value
2017-03-23,actual,9.8
2017-03-23,forecast,10.0
2017-04-27,actual,10.2
2017-04-27,forecast,9.9
2017-05-24,actual,10.4
2017-05-24,forecast,10.2
2017-06-29,actual,10.6
2017-06-29,forecast,10.4
2017-07-27,actual,10.8
2017-07-27,forecast,10.6
2017-08-29,actual,10.9
2017-08-29,forecast,10.8
2017-09-28,actual,10.8
2017-09-28,forecast,11.0
2017-10-26,actual,10.7
2017-10-26,forecast,10.8
2017-11-28,actual,10.7
2017-11-28,forecast,10.8
2017-12-22,actual,10.8
2017-12-22,forecast,10.8
2018-01-25,actual,11.0
2018-01-25,forecast,10.8
2018-02-28,actual,10.8
2018-02-28,forecast,10.8
2018-03-28,actual,10.9
2018-03-28,forecast,10.7
2018-04-26,actual,10.8
2018-04-26,forecast,10.9
2018-05-24,actual,10.7
2018-05-24,forecast,10.8
2018-06-28,actual,10.7
2018-06-28,forecast,10.6
2018-07-26,actual,10.6
2018-07-26,forecast,10.7
2018-08-29,actual,10.5
2018-08-29,forecast,10.6
2018-09-27,actual,10.6
2018-09-27,forecast,10.6
2018-10-26,actual,10.6
2018-10-26,forecast,10.5
2018-11-28,actual,10.4
2018-11-28,forecast,10.5
2018-12-21,actual,10.4
2018-12-21,forecast,10.3
2019-01-30,actual,10.8
2019-01-30,forecast,10.3
2019-02-26,actual,10.8
2019-02-26,forecast,10.8
2019-03-26,actual,10.4
2019-03-26,forecast,10.8
2019-04-30,actual,10.4
2019-04-30,forecast,10.3
2019-05-28,actual,10.1
2019-05-28,forecast,10.4
2019-06-26,actual,9.8
2019-06-26,forecast,10.0
2019-07-30,actual,9.7
2019-07-30,forecast,9.7
2019-08-28,actual,9.7
2019-08-28,forecast,9.6
2019-09-26,actual,9.9
2019-09-26,forecast,9.7
2019-10-25,actual,9.6
2019-10-25,forecast,9.8
2019-11-26,actual,9.7
2019-11-26,forecast,9.6
2019-12-20,actual,9.6
2019-12-20,forecast,9.8
2020-01-29,actual,9.9
2020-01-29,forecast,9.6
2020-02-20,actual,9.8
2020-02-20,forecast,9.8
2020-03-26,actual,2.7
2020-03-26,forecast,7.1
2020-04-23,actual,-23.4
2020-04-23,forecast,-1.8
2020-05-26,actual,-18.9
2020-05-26,forecast,-18.3
2020-06-25,actual,-9.6
2020-06-25,forecast,-12.0
2020-07-23,actual,-0.3
2020-07-23,forecast,-5.0
2020-08-28,actual,-1.8
2020-08-28,forecast,1.2
2020-09-23,actual,-1.6
2020-09-23,forecast,-1.0
2020-10-22,actual,-3.1
2020-10-22,forecast,-2.8
2020-11-26,actual,-6.7
2020-11-26,forecast,-5.0
2020-12-22,actual,-7.3
2020-12-22,forecast,-8.8
2021-01-27,actual,-15.6
2021-01-27,forecast,-7.9
2021-02-25,actual,-12.9
2021-02-25,forecast,-14.3
2021-03-25,actual,-6.2
2021-03-25,forecast,-11.9
2021-04-28,actual,-8.8
2021-04-28,forecast,-3.5
2021-05-27,actual,-7.0
2021-05-27,forecast,-5.2
2021-06-25,actual,-0.3
2021-06-25,forecast,-4.0
2021-07-28,actual,-0.3
2021-07-28,forecast,1.0
2021-08-26,actual,-1.2
2021-08-26,forecast,-0.7
2021-09-28,actual,0.3
2021-09-28,forecast,-1.6
2021-10-27,actual,0.9
2021-10-27,forecast,-0.5
2021-11-25,actual,-1.6
2021-11-25,forecast,-0.5
2021-12-21,actual,-6.8
2021-12-21,forecast,-2.7
2022-01-27,actual,-6.7
2022-01-27,forecast,-7.8
2022-02-23,actual,-8.1
2022-02-23,forecast,-6.3
2022-03-29,actual,-15.5
2022-03-29,forecast,-14.0
2022-04-27,actual,-26.5
2022-04-27,forecast,-16.0
2022-05-25,actual,-26.0
2022-05-25,forecast,-26.0
2022-06-28,actual,-27.4
2022-06-28,forecast,-27.6
2022-07-27,actual,-30.6
2022-07-27,forecast,-28.9
2022-08-26,actual,-36.5
2022-08-26,forecast,-31.8
2022-09-28,actual,-42.5
2022-09-28,forecast,-39.0
2022-10-27,actual,-41.9
2022-10-27,forecast,-41.9
2022-11-25,actual,-40.2
2022-11-25,forecast,-39.6
2022-12-21,actual,-37.8
2022-12-21,forecast,-38.0
2023-01-24,actual,-33.9
2023-01-24,forecast,-33.0
2023-02-24,actual,-30.5
2023-02-24,forecast,-30.4
2023-03-29,actual,-29.5
2023-03-29,forecast,-29.2
2023-04-26,actual,-25.7
2023-04-26,forecast,-27.9
2023-05-25,actual,-24.2
2023-05-25,forecast,-24.0
2023-06-28,actual,-25.4
2023-06-28,forecast,-23.0
2023-07-27,actual,-24.4
2023-07-27,forecast,-24.7
2023-08-29,actual,-25.5
2023-08-29,forecast,-24.3
2023-09-27,actual,-26.5
2023-09-27,forecast,-26.0
2023-10-24,actual,-28.1
2023-10-24,forecast,-26.6
2023-11-28,actual,-27.8
2023-11-28,forecast,-27.9
2023-12-20,actual,-25.1
2023-12-20,forecast,-27.0
2024-01-26,actual,-29.7
2024-01-26,forecast,-24.5
2024-02-27,actual,-29.0
2024-02-27,forecast,-29.0
2024-03-26,actual,-27.4
2024-03-26,forecast,-27.9
2024-04-25,actual,-24.2
2024-04-25,forecast,-25.9
2024-05-29,actual,-20.9
2024-05-29,forecast,-22.5
2024-06-26,actual,-21.8
2024-06-26,forecast,-19.4
2024-07-24,actual,-18.4
2024-07-24,forecast,-21.1
2024-08-27,actual,-22.0
2024-08-27,forecast,-18.3
2024-09-26,actual,-21.2
2024-09-26,forecast,-22.4
2024-10-29,actual,-18.3
2024-10-29,forecast,-20.4
2024-11-27,actual,-23.3
2024-11-27,forecast,-18.8
2024-12-19,actual,-21.3
2024-12-19,forecast,-22.6
2025-01-29,actual,-22.4
2025-01-29,forecast,-20.5
2025-02-26,actual,-24.7
2025-02-26,forecast,-21.7
