time,tipo,value
2025-02-24,actual,85.2
2025-02-24,forecast,85.9
2025-01-27,actual,85.1
2025-01-27,forecast,84.9
2024-12-17,actual,84.7
2024-12-17,forecast,85.5
2024-11-25,actual,85.7
2024-11-25,forecast,86.1
2024-10-25,actual,86.5
2024-10-25,forecast,85.6
2024-09-24,actual,85.4
2024-09-24,forecast,86.1
2024-08-26,actual,86.6
2024-08-26,forecast,86.0
2024-07-25,actual,87.0
2024-07-25,forecast,88.9
2024-06-24,actual,88.6
2024-06-24,forecast,89.4
2024-05-27,actual,89.3
2024-05-27,forecast,90.4
2024-04-24,actual,89.4
2024-04-24,forecast,88.9
2024-03-22,actual,87.8
2024-03-22,forecast,85.9
2024-02-23,actual,85.5
2024-02-23,forecast,85.5
2024-01-25,actual,85.2
2024-01-25,forecast,86.7
2023-12-18,actual,86.4
2023-12-18,forecast,87.8
2023-11-24,actual,87.3
2023-11-24,forecast,87.5
2023-10-25,actual,86.9
2023-10-25,forecast,85.9
2023-09-25,actual,85.7
2023-09-25,forecast,85.2
2023-08-25,actual,85.7
2023-08-25,forecast,86.7
2023-07-25,actual,87.3
2023-07-25,forecast,88.0
2023-06-26,actual,88.5
2023-06-26,forecast,90.7
2023-05-24,actual,91.7
2023-05-24,forecast,93.0
2023-04-24,actual,93.6
2023-04-24,forecast,94.0
2023-03-27,actual,93.3
2023-03-27,forecast,91.0
2023-02-22,actual,91.1
2023-02-22,forecast,91.4
2023-01-25,actual,90.2
2023-01-25,forecast,90.2
2022-12-19,actual,88.6
2022-12-19,forecast,87.4
2022-11-24,actual,86.3
2022-11-24,forecast,85.0
2022-10-25,actual,84.3
2022-10-25,forecast,83.3
2022-09-26,actual,84.3
2022-09-26,forecast,87.0
2022-08-25,actual,88.5
2022-08-25,forecast,86.8
2022-07-25,actual,88.6
2022-07-25,forecast,90.2
2022-06-24,actual,92.3
2022-06-24,forecast,92.9
2022-05-23,actual,93.0
2022-05-23,forecast,91.4
2022-04-25,actual,91.8
2022-04-25,forecast,89.1
2022-03-25,actual,90.8
2022-03-25,forecast,94.2
2022-02-22,actual,98.9
2022-02-22,forecast,96.5
2022-01-25,actual,95.7
2022-01-25,forecast,94.7
2021-12-17,actual,94.7
2021-12-17,forecast,95.3
2021-11-24,actual,96.5
2021-11-24,forecast,96.6
2021-10-25,actual,97.7
2021-10-25,forecast,97.9
2021-09-24,actual,98.8
2021-09-24,forecast,98.9
2021-08-25,actual,99.4
2021-08-25,forecast,100.4
2021-07-26,actual,100.8
2021-07-26,forecast,102.1
2021-06-24,actual,101.8
2021-06-24,forecast,100.6
2021-05-25,actual,99.2
2021-05-25,forecast,98.2
2021-04-26,actual,96.8
2021-04-26,forecast,97.8
2021-03-26,actual,96.6
2021-03-26,forecast,93.2
2021-02-22,actual,92.4
2021-02-22,forecast,90.5
2021-01-25,actual,90.1
2021-01-25,forecast,91.8
2020-12-18,actual,92.1
2020-12-18,forecast,90.0
2020-11-24,actual,90.7
2020-11-24,forecast,90.1
2020-10-26,actual,92.7
2020-10-26,forecast,93.0
2020-09-24,actual,93.4
2020-09-24,forecast,93.8
2020-08-25,actual,92.6
2020-08-25,forecast,92.2
2020-07-27,actual,90.5
2020-07-27,forecast,89.3
2020-06-24,actual,86.2
2020-06-24,forecast,85.0
2020-05-25,actual,79.5
2020-05-25,forecast,78.3
2020-04-24,actual,74.3
2020-04-24,forecast,80.0
2020-03-25,actual,86.1
2020-03-25,forecast,87.7
2020-03-19,actual,87.7
2020-03-19,forecast,95.3
2020-02-24,actual,96.1
2020-02-24,forecast,95.3
2020-01-27,actual,95.9
2020-01-27,forecast,97.0
2019-12-18,actual,96.3
2019-12-18,forecast,95.5
2019-11-25,actual,95.0
2019-11-25,forecast,95.0
2019-10-25,actual,94.6
2019-10-25,forecast,94.5
2019-09-24,actual,94.6
2019-09-24,forecast,94.5
2019-08-26,actual,94.3
2019-08-26,forecast,95.1
2019-07-25,actual,95.7
2019-07-25,forecast,97.1
2019-06-24,actual,97.4
2019-06-24,forecast,97.4
2019-05-23,actual,97.9
2019-05-23,forecast,99.2
2019-04-24,actual,99.2
2019-04-24,forecast,99.9
2019-03-25,actual,99.6
2019-03-25,forecast,98.7
2019-02-22,actual,98.5
2019-02-22,forecast,99.0
2019-01-25,actual,99.1
2019-01-25,forecast,100.7
2018-12-18,actual,101.0
2018-12-18,forecast,101.8
2018-11-26,actual,102.0
2018-11-26,forecast,102.3
2018-10-25,actual,102.8
2018-10-25,forecast,103.1
2018-09-24,actual,103.7
2018-09-24,forecast,103.2
2018-08-27,actual,103.8
2018-08-27,forecast,101.9
2018-07-25,actual,101.7
2018-07-25,forecast,101.6
2018-06-25,actual,101.9
2018-06-25,forecast,101.9
2018-05-25,actual,102.4
2018-05-25,forecast,102.7
2018-04-24,actual,102.4
2018-04-24,forecast,102.8
2018-03-22,actual,103.5
2018-02-22,actual,104.3
2018-01-25,actual,105.0
2017-12-19,actual,105.0
2017-11-24,actual,105.3
2017-10-25,actual,105.0
2017-09-25,actual,104.5
2017-08-25,actual,103.7
2017-07-25,actual,103.8
2017-06-26,actual,102.8
2017-05-23,actual,102.0
