time,tipo,value
2025-02-10,actual,-12.7
2025-02-10,forecast,-16.4
2025-01-06,actual,-17.7
2025-01-06,forecast,-17.7
2024-12-09,actual,-17.5
2024-12-09,forecast,-12.4
2024-11-04,actual,-12.8
2024-11-04,forecast,-12.7
2024-10-07,actual,-13.8
2024-10-07,forecast,-14.6
2024-09-09,actual,-15.4
2024-09-09,forecast,-12.4
2024-08-05,actual,-13.9
2024-08-05,forecast,-5.5
2024-07-08,actual,-7.3
2024-07-08,forecast,-0.6
2024-06-10,actual,0.3
2024-06-10,forecast,-1.5
2024-05-06,actual,-3.6
2024-05-06,forecast,-4.8
2024-04-08,actual,-5.9
2024-04-08,forecast,-8.3
2024-03-04,actual,-10.5
2024-03-04,forecast,-10.8
2024-02-05,actual,-12.9
2024-02-05,forecast,-15.0
2024-01-08,actual,-15.8
2024-01-08,forecast,-15.5
2023-12-04,actual,-16.8
2023-12-04,forecast,-15.0
2023-11-06,actual,-18.6
2023-11-06,forecast,-22.2
2023-10-09,actual,-21.9
2023-10-09,forecast,-24.0
2023-09-04,actual,-21.5
2023-09-04,forecast,-19.6
2023-08-07,actual,-18.9
2023-08-07,forecast,-23.4
2023-07-10,actual,-22.5
2023-07-10,forecast,-17.9
2023-06-05,actual,-17.0
2023-06-05,forecast,-15.2
2023-05-08,actual,-13.1
2023-05-08,forecast,-8.0
2023-04-11,actual,-8.7
2023-04-11,forecast,-9.9
2023-03-06,actual,-11.1
2023-03-06,forecast,-6.3
2023-02-06,actual,-8.0
2023-02-06,forecast,-12.8
2023-01-09,actual,-17.5
2023-01-09,forecast,-18.0
2022-12-05,actual,-21.0
2022-12-05,forecast,-27.6
2022-11-07,actual,-30.9
2022-11-07,forecast,-35.0
2022-10-10,actual,-38.3
2022-10-10,forecast,-34.7
2022-09-05,actual,-31.8
2022-09-05,forecast,-27.5
2022-08-08,actual,-25.2
2022-08-08,forecast,-24.7
2022-07-04,actual,-26.4
2022-07-04,forecast,-19.9
2022-06-07,actual,-15.8
2022-06-07,forecast,-20.0
2022-05-09,actual,-22.6
2022-05-09,forecast,-20.8
2022-04-04,actual,-18.0
2022-04-04,forecast,-9.2
2022-03-07,actual,-7.0
2022-03-07,forecast,5.3
2022-02-07,actual,16.6
2022-02-07,forecast,15.2
2022-01-10,actual,14.9
